Game,Month,Day,Year
Heroes of Newerth,May,"12,",2010
Hitman: Absolution,November,"19,",2012
Hitman: Blood Money,May,"30,",2006
Hitman: Codename 47,November,"19,",2000
Hitman: Contracts,April,"20,",2004
Hitman 2: Silent Assassin,October,"1,",2002
Hogs of War,November,"3,",2000
Homeworld,September,"28,",1999
Homeworld: Cataclysm,June,"30,",2000
Homeworld 2,September,"16,",2003
Hotline Miami,October,"23,",2012
Hugo's House of Horrors,October,"23,",2012
I.G.I.-2: Covert Strike,March,"3,",2003
Icewind Dale,June,"29,",2000
Icewind Dale II,August,"27,",2002
Identity,August,"27,",2002
Insurgency,January,"22,",2014
Jade Empire,February,"26,",2007
James Bond 007: Nightfire,November,"28,",2002
Jazz Jackrabbit,July,"30,",1994
Jazz Jackrabbit 2,April,"13,",1998
Juiced 2: Hot Import Nights,November,"16,",2007
Jurassic Park,November,"16,",2007
Jurassic Park III: Danger Zone!,June,"29,",2001
Jurassic Park III: Dino Defender,June,"29,",2001
Jurassic Park: The Game,November,"15,",2011
Just Cause 2,March,"23,",2010
Katawa Shoujo,January,"24,",2012
Kentucky Route Zero,January,"7,",2013
Kerbal Space Program,June,"24,",2011
Killing Floor,May,"14,",2009
Killing Floor 2,May,"14,",2009
Killing Floor 2,May,"14,",2009
King Arthur: The Role-Playing Wargame,November,"25,",2009
King Arthur II: The Role-Playing Wargame,January,"27,",2012
kkrieger,April,"30,",2004
Knights and Merchants: The Shattered Kingdom,September,"18,",1998
Lands of Lore: Guardians of Destiny,September,"30,",1997
Lands of Lore: The Throne of Chaos,September,"30,",1997
Lands of Lore III,March,"3,",1999
Layers of Fear,February,"16,",2016
League of Legends,October,"27,",2009
Legends of Callasia,June,"10,",2016
Lego Batman: The Videogame,September,"23,",2008
Lego Batman 2: DC Super Heroes,June,"23,",2012
Lego Batman 3: Beyond Gotham,November,"11,",2014
Leisure Suit Larry,June,"5,",1987
The Lord of the Rings Online,April,"27,",2007
Lovely Planet,July,"31,",2014
M.U.D. TV,February,"23,",2010
M.U.G.E.N,February,"23,",2010
Magicka,January,"25,",2011
Mass Effect,November,"20,",2007
Mass Effect 2,January,"26,",2010
Mass Effect 3,March,"6,",2012
Max Payne,July,"23,",2001
Max Payne 2: The Fall of Max Payne,October,"14,",2003
MDK,November,"21,",1997
MDK2,March,"31,",2000
Mechwarrior Online,September,"17,",2013
Medal of Honor,October,"8,",2010
Medal of Honor: Warfighter,October,"23,",2012
Medieval: Total War,August,"20,",2002
Medieval II: Total War,November,"11,",2006
Metal Gear,July,"7,",1987
Metal Gear 2: Solid Snake,July,"20,",1990
Metal Gear 2: Solid Snake,January,"9,",2014
Metal Gear Solid,September,"3,",1998
Metal Gear Solid 2: Substance,March,"27,",2003
Metal Gear Solid V: Ground Zeroes,September,"1,",2015
Metal Gear Solid V: The Phantom Pain,September,"1,",2015
Metro 2033,March,"16,",2010
Metro: Last Light,May,"14,",2013
Microsoft Minesweeper,May,"14,",2013
Middle-earth: Shadow of Mordor,September,"30,",2014
Might & Magic X: Legacy,January,"23,",2014
Might and Magic VI,April,"30,",1998
Might and Magic VII,May,"15,",1999
A Mind Forever Voyaging,August,"14,",1985
Minecraft,November,"18,",2011
Mirror's Edge,November,"12,",2008
Monaco: What's Yours Is Mine,April,"24,",2013
Mount & Blade,September,"16,",2008
Mount & Blade: Warband,March,"30,",2010
Mount & Blade: With Fire & Sword,May,"3,",2011
MouseCraft,June,"9,",2014
Napoleon: Total War,February,"23,",2010
Natural Selection 2,October,"30,",2012
Need for Speed,August,"31,",1994
Need for Speed II,March,"31,",1997
Need for Speed III: Hot Pursuit,March,"25,",1998
Need for Speed: High Stakes,March,"8,",1999
Need for Speed: Hot Pursuit 2,October,"2,",2002
Need for Speed: Porsche Unleashed,February,"29,",2000
Need for Speed: Underground,October,"2,",2002
Nether: Resurrected,October,"28,",2013
The Neverhood,October,"31,",1996
Neverwinter Nights,June,"18,",2002
Neverwinter Nights 2,October,"31,",2006
Neverwinter Nights: Hordes of the Underdark,December,"2,",2003
Neverwinter Nights: Shadows of Undrentide,June,"21,",2003
Next Car Game: Wreckfest,June,"21,",2003
Nier: Automata,March,"17,",2017
Night in the Woods,February,"21,",2017
Night in the Woods,February,"21,",2017
No More Room in Hell,October,"31,",2013
OneShot,December,"8,",2016
Operation Flashpoint: Cold War Crisis,June,"22,",2001
Operation Flashpoint: Resistance,July,"10,",2002
Orcs Must Die 2,July,"30,",2012
Order of War,September,"22,",2009
osu!,September,"16,",2007
Out of the Park Baseball 2007,March,"26,",2006
Outcast,August,"31,",1999
Outlast,September,"4,",2013
Overgrowth,September,"17,",2008
Overwatch,May,"24,",2016
Oxenfree,January,"15,",2016
"Papers, Please",August,"8,",2013
ParaWorld,August,"8,",2013
Path of Exile,October,"23,",2013
Payday: The Heist,October,"18,",2011
Payday 2,August,"13,",2013
Penumbra: Black Plague,February,"12,",2008
Penumbra: Overture,March,"30,",2007
Penumbra: Requiem,August,"27,",2008
Pillars of Eternity,March,"26,",2015
Planetarian: The Reverie of a Little Planet,March,"26,",2015
Planetary Annihilation,September,"5,",2014
PlanetSide,May,"20,",2003
PlanetSide 2,November,"12,",2012
PlayerUnknown's Battlegrounds,December,"12,",2017
Pony Island,January,"4,",2016
Pool of Radiance,January,"4,",2016
Pools of Darkness,January,"4,",2016
Portal,October,"10,",2007
Portal 2,April,"19,",2011
PP: Pianissimo,September,"29,",2009
Prince of Persia: The Sands of Time,November,"6,",2003
Prince of Persia: Warrior Within,November,"30,",2004
Prison Architect,October,"6,",2015
Project I.G.I.: I'm Going In,December,"15,",2000
Project Zomboid,November,"8,",2013
Quake,June,"22,",1996
Quake II,December,"9,",1997
Quake III Arena,December,"2,",1999
Quake 4,October,"18,",2005

Railroad Tycoon,October,"18,",2005
Railroad Tycoon 3,October,"27,",2003
Rayman,April,"30,",1996
Rayman 2: The Great Escape,October,"31,",1999
Rayman 3: Hoodlum Havoc,March,"24,",2003
Rayman Legends,September,"3,",2013
,August,"31,",2002
Rayman Origins,March,"29,",2012
Recettear: An Item Shop's Tale,September,"10,",2010
Rec Room,June,"28,",2016
Red Orchestra: Ostfront 41-45,March,"14,",2006
Red Orchestra 2: Heroes of Stalingrad,September,"13,",2011
Reign of Kings,March,"11,",2015
Resident Evil,March,"22,",1996
Resident Evil 2,January,"21,",1998
Resident Evil 3: Nemesis,September,"22,",1999
Resident Evil 4,January,"11,",2005
Resident Evil 5,March,"5,",2009
Resident Evil 6,October,"2,",2012
Resident Evil: Operation Raccoon City,March,"20,",2012
Resident Evil: Revelations,January,"26,",2012
Resident Evil: Revelations 2,February,"24,",2015
Resident Evil: Revelations 2,February,"24,",2015
